"Date of data","Trading partner code","Trading partner","Commodity code","Commodity","US dollar",
"202505","502","United States","1504","ats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified.","3,074,601",
"202505","502","United States","1505","Wool grease and fatty substances derived therefrom (including lanolin).","134,628",
"202505","502","United States","1506","Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.","129,696",
"202505","502","United States","1507","oyabean oil and its fractions, whether or not refined, but not chemically modified.","3,405",
"202505","502","United States","1508","Groundnut oil and its fractions, whether or not refined, but not chemically modified.","229,688",
"202505","502","United States","1512","unflowerseed, safflower or cottonseed oil and fractions thereof, whether or not refined, but not chemically modified.","75,657",
"202505","502","United States","1513","Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.","7,692",
"202505","502","United States","1514","Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.","33,182",
"202505","502","United States","1515","Other fixed vegetable or microbial fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified","1,481,943",
"202505","502","United States","1516","Animal，vegetable or microbial fats and oils and their fractions, partly or wholly hydrogenated, interesterified, reesterified or elaidinised, whether or not refined, but not further prepared.","176,203",
"202505","502","United States","1517","Margarine; edible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, other than edible fats and oils or their fractions of heading 15.16.","1,065,267",
"202505","502","United States","1518","Animal, vegetable or microbial fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 15.16; inedible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, not elsewhere specified or included","7",
"202505","502","United States","1521","egetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti, whether or not refined or coloured.","175,002",
"202505","502","United States","1601","Sausages and similar products, of meat, meat offal, blood or insects; food preparations based on these products","95,870",
"202505","502","United States","1602","Other prepared or preserved meat, meat offal, blood or insects","531,195",
"202505","502","United States","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs.","23,037,001",
"202505","502","United States","1605","rustaceans, molluscs and other aquatic invertebrates, prepared or preserved.","22,292,757",
"202505","502","United States","1701","Cane or beet sugar and chemically pure sucrose, in solid form.","252,229",
"202505","502","United States","1702","Other sugars, including chemically pure lactose, maltose, glucose 
and fructose, in solid form; sugar syrups not containing added 
flavouring or colouring matter; artificial honey, whether or not 
mixed with natural honey; caramel.","5,187,502",
"202505","502","United States","1703","olasses resulting from the extraction or refining of sugar.","27",
"202505","502","United States","1704","ugar confectionery (including white chocolate), not containing cocoa.","14,591,754",
"202505","502","United States","1806","hocolate and other food preparations containing cocoa.","682,192",
"202505","502","United States","1901","Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of headings 04.01 to 04.04,not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally efatted basis, not elsewhere specified or included.","361,756",
