数据年月,贸易伙伴编码,贸易伙伴名称,商品编码,商品名称,人民币
202511,502,美国,2202,加味、加糖或其他甜物质的水，包括矿泉水及汽水，其他无酒精饮料，但不包括品目20.09的水果汁、坚果汁或蔬菜汁,25093321.0
202511,502,美国,2203,麦芽酿造的啤酒,8625230.0
202511,502,美国,2204,鲜葡萄酿造的酒，包括加酒精的；品目2009以外的酿酒葡萄汁,9199180.0
202511,502,美国,2206,其他发酵饮料（例如，苹果酒、梨酒、蜂蜜酒、清酒）；其他品目未列名的发酵饮料的混合物及发酵饮料与无酒精饮料的混合物,78250.0
202511,502,美国,2207,未改性乙醇，按容量计酒精浓度≥80％；任何浓度的改性乙醇及其他酒精,183595.0
202511,502,美国,2208,未改性乙醇，按容量计酒精浓度＜80％；蒸馏酒、利口酒及其他酒精饮料,20997883.0
202511,502,美国,2209,醋及用醋酸制得的醋代用品,493987.0
202511,502,美国,2301,不适于供人食用的肉、杂碎、鱼、甲壳动物、软体动物或其他水生无脊椎动物的渣粉及团粒；油渣,174726081.0
202511,502,美国,2302,谷物或豆类植物在筛、碾或其他加工过程中产生的糠、麸及其他残渣，不论是否制成团粒,14810826.0
202511,502,美国,2304,提炼豆油所得的油渣饼及其他固体残渣，不论是否碾磨或制成团粒,1884150.0
202511,502,美国,2309,配制的动物饲料,140796476.0
202511,502,美国,2404,含烟草、再造烟草、尼古丁、或烟草或尼古丁代用品，非经燃烧吸用的产品；其他供人体摄入尼古丁的含尼古丁的产品,12704157.0
202511,502,美国,2501,盐（包括精制盐及变性盐）及纯氯化钠，不论是否为水溶液，也不论是否添加抗结块剂或松散剂；海水,3812597.0
202511,502,美国,2504,天然石墨,45103.0
202511,502,美国,2505,各种天然砂，不论是否着色，但第26章的含金属矿砂除外,4796059.0
202511,502,美国,2506,石英（天然砂除外）；石英岩，不论是否粗加修整或仅用锯或其他方法切割成矩形（包括正方形）的板、块,72974416.0
202511,502,美国,2507,高岭土及类似土，不论是否锻烧,25943947.0
202511,502,美国,2508,其他黏土（不包括品目6806的膨胀黏土）、红柱石、蓝晶石及硅线石，不论是否煅烧；富铝红柱石；火泥及第纳斯土,10797170.0
202511,502,美国,2511,天然硫酸钡（重晶石）；天然碳酸钡（毒重石），不论是否煅烧，但品目2816的氧化钡除外,59867.0
202511,502,美国,2512,硅质化石粗粉（例如各种硅藻土）及类似的硅质土，不论是否煅烧，其表观比重不超过1,1988232.0
202511,502,美国,2513,浮石；刚玉岩；天然刚玉砂；天然石榴石及其他天然磨料，不论是否热处理,468229.0
