Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
202510,502,United States,130219,"Mucilages and thickeners, derived from locust beans, locust bean seeds or guar seeds, whether or not modified",416505.0
202510,502,United States,130220,"Pectic substances, pectinates and pectates",1602.0
202510,502,United States,130231,Agaragar,41033.0
202510,502,United States,130232,"Mucilages and thickeners, whether or not modified, derived from locust beans, locust bean seeds or guar seeds",79574.0
202510,502,United States,130239,"Other mucilages and thickeners, derived for vegetable products",934847.0
202510,502,United States,140490,Vegetable products not elsewhere specified or included,2509.0
202510,502,United States,150410,Fishliver oils and their fractions,149436.0
202510,502,United States,150420,"Fats and oils and their fractions, of fish, other than liver oils",4346957.0
202510,502,United States,150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",2563844.0
202510,502,United States,150790,"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified and crude)",281.0
202510,502,United States,150890,Other ground-nut oil and its fractions,29.0
202510,502,United States,150920,Extra virgin olive oil,1784.0
202510,502,United States,150930,"Virgin olive oil,with a free acidity(oleic acid)≤2.0 g/ 100 g",147.0
202510,502,United States,150940,Other virgin olive oils,800.0
202510,502,United States,151219,Other oil of sunflower-seed or safflower and its fractions,937.0
202510,502,United States,151311,Crude coconut oil,1122.0
202510,502,United States,151319,Other coconut oil and its fractions,2627.0
202510,502,United States,151499,"High erucic acid rape or colza oil fixed oil which has an erucic acid content of ≥ 2%"", and mustard oil, and fractions thereof, whether or not refined, but not chemically modified (excluding crude)""",224.0
202510,502,United States,151511,Crude linseed oil,633.0
202510,502,United States,151519,"Linseed oil and fractions thereof, whether or not refined, but not chemically modified (excluding crude)",10906.0
202510,502,United States,151530,Castor oil and its fractions,11665.0
202510,502,United States,151550,Sesame oil and its fractions,364.0
202510,502,United States,151560,"Microbial fats and oils and their fractions,not chemically modified",1655225.0
202510,502,United States,151590,Other fixed vegetable fats and oils and their fractions,419923.0
202510,502,United States,151610,Animal fats and oils and their fractions,138168.0
202510,502,United States,151620,Vegetable fats and oils and their fractions,91081.0
202510,502,United States,151790,"Other edible fats/oils/fractions of this chptr, excl.that of 15.16",1064830.0
202510,502,United States,151800,"Animal, vegetable or microbial fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 15.16; inedible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, not elsewhere specified or included",216848.0
202510,502,United States,152110,Vegetable waxes,8137.0
202510,502,United States,152190,"Beeswax, other insect waxes and spermaceti",7758.0
202510,502,United States,160231,Meat or offal of turkeys,47650.0
202510,502,United States,160232,Meat or offal of fowls of the species Gallus domesticus,16786550.0
202510,502,United States,160249,"Other prepared or preserved meat and meat offal of swine, including mixtures",435623.0
202510,502,United States,170191,"Cane or beet sugar and chemically pure sucrose,containing added flavouring or colouring matter",600.0
202510,502,United States,170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar containing added flavouring or colouring and raw sugar)",253256.0
202510,502,United States,170211,"Lactose in solid form and lactose syrup, not containing added flavouring or colouring matter, containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",10218839.0
202510,502,United States,170220,Maple sugar and maple syrup,310.0
202510,502,United States,170230,"Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",87289.0
202510,502,United States,170250,Chemically pure fructose,340289.0
202510,502,United States,170260,"Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",20107.0
202510,502,United States,170290,Other sugars in solid form and sugar syrups not containing added flavouring or colouring matter,49108.0
202510,502,United States,170410,"Chewing gum, whether or not sugarcoated",2304.0
202510,502,United States,170490,"Other sugar confectionery, not containing cocoa",7331373.0
202510,502,United States,180500,"Cocoa powder, not containing added sugar or other sweetening matter",26120.0
202510,502,United States,180610,"Cocoa powder, containing added sugar or other sweetening matter",7943.0
202510,502,United States,180620,"Other preparations in blocks, slabs or bars weighing more than 2 kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, of a content exceeding 2 kg",2689657.0
202510,502,United States,180631,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of ≤ 2 kg, filled",414444.0
202510,502,United States,180632,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of ≤ 2 kg (excluding filled)",94733.0
