Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan,
202502,502,United States,1516,"Animal，vegetable or microbial fats and oils and their fractions, partly or wholly hydrogenated, interesterified, reesterified or elaidinised, whether or not refined, but not further prepared.","3,659,666",
202502,502,United States,1517,"Margarine; edible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, other than edible fats and oils or their fractions of heading 15.16.","3,961,356",
202502,502,United States,1518,"Animal, vegetable or microbial fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 15.16; inedible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, not elsewhere specified or included","546,380,962",
202502,502,United States,1521,"egetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti, whether or not refined or coloured.","1,113,150",
202502,502,United States,1601,"Sausages and similar products, of meat, meat offal, blood or insects; food preparations based on these products","21,852",
202502,502,United States,1602,"Other prepared or preserved meat, meat offal, blood or insects","4,697,916",
202502,502,United States,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs.,"178,703,778",
202502,502,United States,1605,"rustaceans, molluscs and other aquatic invertebrates, prepared or preserved.","103,307,059",
202502,502,United States,1701,"Cane or beet sugar and chemically pure sucrose, in solid form.","1,782,048",
202502,502,United States,1702,"Other sugars, including chemically pure lactose, maltose, glucose  and fructose, in solid form; sugar syrups not containing added  flavouring or colouring matter; artificial honey, whether or not  mixed with natural honey; caramel.","44,744,459",
202502,502,United States,1704,"ugar confectionery (including white chocolate), not containing cocoa.","90,651,568",
202502,502,United States,1806,hocolate and other food preparations containing cocoa.,"2,445,805",
202502,502,United States,1901,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of headings 04.01 to 04.04,not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally efatted basis, not elsewhere specified or included.","2,228,835",
202502,502,United States,1902,"Pasta, whether or not cooked or stuffed (with meat or other  substances) or otherwise prepared, such as spaghetti, macaroni,  noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether  or not prepared.","70,467,884",
202502,502,United States,1903,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms","561,411",
202502,502,United States,1904,"repared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than  maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), precooked, or otherwise prepared, not elsewhere specified or included.","14,567,706",
202502,502,United States,1905,"read, pastry, cakes, biscuits and other bakers' wares, whether  or not containing cocoa; communion wafers, empty cachets of a  kind suitable for pharmaceutical use, sealing wafers, rice paper  and similar products.","12,796,150",
202502,502,United States,2001,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid.","2,087,109",
202502,502,United States,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid.,"879,848",
202502,502,United States,2003,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid.","3,259,361",
202502,502,United States,2004,"Other vegetables prepared or preserved otherwise than by  vinegar or acetic acid, frozen, other than products of  heading 20.06.","7,750,086",
202502,502,United States,2005,"Other vegetables prepared or preserved otherwise than by  vinegar or acetic acid, not frozen, other than products of  heading 20.06.","88,580,061",
202502,502,United States,2006,"Vegetables, fruit, nuts, fruitpeel and other parts of plants, preserved by sugar (drained, glacé or crystallised).","4,414,686",
202502,502,United States,2007,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or  nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter.","2,966,992",
202502,502,United States,2008,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","174,225,842",
202502,502,United States,2009,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter","59,957,243",
202502,502,United States,2101,"Extracts, essences and concentrates, of coffee, tea or maté and preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof","11,033,243",
202502,502,United States,2102,"Yeasts (active or inactive); other singlecell microorganisms, dead (but not including vaccines of heading 30.02); prepared baking powders.","13,337,759",
202502,502,United States,2103,"Sauce and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal, whether or not prepared, and mustard","70,887,369",
202502,502,United States,2104,Soups and broths and preparations therefor; homogenised composite food preparations.,"764,430",
202502,502,United States,2105,"Ice cream and other edible ice, whether or not containing cocoa.","2,563,164",
202502,502,United States,2106,Food preparations not elsewhere specified or included.,"216,290,588",
202502,502,United States,2201,"Waters, including natural or artificial mineral waters andaerated waters, not containing added sugar or other sweetening matter nor flavoured; ice and snow.","15,519",
202502,502,United States,2202,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading 20.09","16,747,045",
202502,502,United States,2203,Beer made from malt.,"2,022,308",
202502,502,United States,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","250,412",
202502,502,United States,2206,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and nonalcoholic beverages, not elsewhere  specified or included.","579,804",
202502,502,United States,2208,"Undenatured ethyl alcohol of an alcoholic strength by volume of Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol.; spirits, liqueurs and other spirituous beverages.","4,270,300",
202502,502,United States,2209,Vinegar and substitutes for vinegar obtained from acetic acid.,"563,233",
202502,502,United States,2303,"Residues of starch manufacture and similar residues, beetpulp, bagasse and other waste of sugar manufacture, brewing ordistilling dregs and waste, whether or not in the form of pellets.","2,442,615",
202502,502,United States,2306,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading 23.04 or 23.05","790,858",
202502,502,United States,2308,"Vegetable materials and vegetable waste, vegetable residues and byproducts, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.","5,716,461",
202502,502,United States,2309,Preparations of a kind used in animal feeding.,"126,874,178",
202502,502,United States,2404,"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body","1,182,034,741",
202502,502,United States,2501,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water","2,474,958",
202502,502,United States,2502,Unroasted iron pyrites.,"12,857",
202502,502,United States,2504,Natural graphite.,"20,680,977",
202502,502,United States,2506,"Quartz (excluding natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape","114,518",
202502,502,United States,2507,"Kaolin and other kaolinic clays, whether or not calcined","5,633",
202502,502,United States,2508,"Other clays (not including expanded clays of heading 68.06), andalusite, kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earths.","926,957",
202502,502,United States,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated","1,642,725",
202502,502,United States,2514,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape; slate powder and slate refuse","41,789",
202502,502,United States,2516,"Granite, porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.","215,982",
202502,502,United States,2517,"Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for railway ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 and 2516, whether or not heat-treated","2,046,593",
202502,502,United States,2519,Natural magnesium carbonate magnesite ; fused magnesia; dead-burned  sintered  magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide, whether or not pure ,"6,411,218",
202502,502,United States,2520,"Gypsum; anhydrite; plasters consisting of calcined gypsum or calcium sulphate, whether or not coloured, with or without small quantities of accelerators or retarders","21,596",
202502,502,United States,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement","156,799",
202502,502,United States,2522,"Quicklime, slaked lime and hydraulic lime (excluding pure calcium oxide and calcium hydroxide)","680,271",
202502,502,United States,2523,"Portland cement, aluminous cement, slagcement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers.","7,906",
202502,502,United States,2525,"Mica, including splittings; mica waste.","354,228",
202502,502,United States,2526,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc.","128,524",
202502,502,United States,2529,"Feldspar; leucite, nepheline and nepheline syenite; fluorspar.","300,471",
202502,502,United States,2530,Mineral substances not elsewhere specified or included.,"203,926",
202502,502,United States,2621,"Other slag and ash, including seaweed ash (kelp); ash and residues from the incineration of municipal waste.","1,175,162",
202502,502,United States,2708,"Pitch and pitch coke, obtained from coal tar or from other mineral tars","426,813",
202502,502,United States,2710,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or  included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils.","309,148,250",
202502,502,United States,2711,Petroleum gases and other gaseous hydrocarbons.,"5,977,535",
202502,502,United States,2712,"Petroleum jelly, paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured","37,537,118",
202502,502,United States,2713,"Petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals.","20,609",
202502,502,United States,2803,Carbon (carbon blacks and other forms of carbon not elsewhere specified or included).,"98,250",
202502,502,United States,2804,"ydrogen, rare gases and other nonmetals.","3,663,746",
202502,502,United States,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury","20,225,225",
202502,502,United States,2806,Hydrogen chloride hydrochloric acid ; chlorosulphuric acid ,"1,395,896",
202502,502,United States,2808,Nitric acid; sulphonitric acids.,"124,717",
202502,502,United States,2809,"Diphosphorus pentaoxide; phosphoric acid; polyphosphoric acids, whether or not chemically defined","2,822,537",
202502,502,United States,2810,Oxides of boron; boric acids.,"74,614",
202502,502,United States,2811,Other inorganic acids and other inorganic oxygen compounds of nonmetals.,"23,931,011",
202502,502,United States,2812,Halides and halide oxides of nonmetals.,"2,043,048",
202502,502,United States,2813,Sulphides of non-metals; commercial phosphorus trisulphide,72,
202502,502,United States,2815,"Sodium hydroxide (caustic soda), potassium hydroxide (caustic potash); peroxides of sodium or potassium","88,237",
202502,502,United States,2816,"Oydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium.","644,052",
202502,502,United States,2817,Zinc oxide; zinc peroxide.,"147,717",
202502,502,United States,2818,"Artificial corundum, whether or not chemically defined;aluminium oxide; aluminium hydroxide.","18,273,777",
202502,502,United States,2819,Chromium oxides and hydroxides,"1,437,821",
202502,502,United States,2820,Manganese oxides.,"2,618",
202502,502,United States,2821,Iron oxides and hydroxides; earth colours containing 70% or more by weight of combined iron evaluated as Fe2O3.,"24,417,065",
202502,502,United States,2822,Cobalt oxides and hydroxides; commercial cobalt oxides.,"20,559",
202502,502,United States,2823,Titanium oxides.,"4,392,806",
202502,502,United States,2825,"Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides.","41,171,066",
202502,502,United States,2826,"Hluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts.","49,016,888",
202502,502,United States,2827,"Chlorides, chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides","21,439,700",
202502,502,United States,2828,Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites,"714,409",
202502,502,United States,2829,Chlorates and perchlorates; bromates and perbromates; iodates and periodates,"1,279,518",
202502,502,United States,2830,"Sulphides; polysulphides, whether or not chemically defined","628,207",
202502,502,United States,2831,Dithionites and sulfoxylates,"597,779",
202502,502,United States,2832,Sulphites; thiosulphates,"909,119",
202502,502,United States,2833,Sulphates; alums; peroxosulphates (persulphates),"10,520,410",
202502,502,United States,2834,Nitrites; nitrates.,"1,686,416",
202502,502,United States,2835,"Phosphinates (hypophosphites), phosphonates (phosphites) and phosphates; polyphosphates, whether or not chemically defined.","31,686,610",
202502,502,United States,2836,Carbonates; peroxocarbonates percarbonates ; commercial ammonium carbonate containing ammonium carbamate ,"6,521,144",
202502,502,United States,2837,"Cyanides, cyanide oxides and complex cyanides.","1,892,479",
202502,502,United States,2839,Silicates; commercial alkali metal silicates.,"998,951",
202502,502,United States,2840,Borates; peroxoborates (perborates).,"577,065",
202502,502,United States,2841,Salts of oxometallic or peroxometallic acids.,"11,838,612",
202502,502,United States,2842,"Salts of inorganic acids or peroxoacids, incl. aluminosilicates whether or not chemically defined (excluding of oxometallic or peroxometallic acids and azides, and inorganic or organic compounds of mercury)","14,841,412",
202502,502,United States,2843,"Colloidal precious metals; inorganic or organic compounds of  precious metals, whether or not chemically defined; amalgams of  precious metals.","42,191",
202502,502,United States,2845,"Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not chemically defined","485,339",
202502,502,United States,2846,"Compounds, inorganic or organic, of rareearth metals, of yttrium or of scandium or of mixtures of these metals.","48,168,430",
202502,502,United States,2849,"Carbides, whether or not chemically defined","20,073,664",
202502,502,United States,2850,"Hydrides, nitrides, azides, silicides and borides, whether or not  chemically defined, other than compounds which are also  carbides of heading 28.49.","3,966,885",
202502,502,United States,2853,"Inorganic compounds, incl. distilled or conductivity water and water of similar purity, n.e.s.; liquid air, whether or not rare gases have been removed; compressed air; amalgams (excluding amalgams of precious metals)","7,707,409",
202502,502,United States,2901,Acyclic hydrocarbons.,"13,124,482",
202502,502,United States,2902,Cyclic hydrocarbons.,"3,839,609",
202502,502,United States,2903,Halogenated derivatives of hydrocarbons,"93,889,279",
202502,502,United States,2904,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons,whether or not halogenated.","6,185,723",
202502,502,United States,2905,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives.","46,691,252",
202502,502,United States,2906,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives.","15,846,047",
202502,502,United States,2907,henols; phenolalcohols.,"15,918,895",
202502,502,United States,2908,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenolalcohols.","65,018",
202502,502,United States,2909,"Others, etheralcohols, etherphenols, etheralcoholphenols,  alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides (whether or  not chemically defined), and their halogenated, sulphonated,  nitrated or nitrosated derivatives.","31,382,754",
202502,502,United States,2910,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a  threemembered ring, and their halogenated, sulphonated,  nitrated or nitrosated derivatives.","30,864,061",
202502,502,United States,2911,"Acetals and hemiacetals, whether or not with other oxygen  function, and their halogenated, sulphonated, nitrated or  nitrosated derivatives.","1,056,639",
202502,502,United States,2912,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde.","33,264,237",
202502,502,United States,2913,"Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading 29.12.","1,004,884",
202502,502,United States,2914,"Ketones and quinones, whether or not with other oxygen  function, and their halogenated, sulphonated, nitrated or  nitrosated derivatives.","125,478,821",
202502,502,United States,2915,"Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.","36,322,989",
202502,502,United States,2916,"Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic  acids, their anhydrides, halides, peroxides and peroxyacids; their  halogenated, sulphonated, nitrated or nitrosated derivatives.","81,738,849",
202502,502,United States,2917,"Polycarboxylic acids, their anhydrides, halides, peroxides and  peroxyacids; their halogenated, sulphonated, nitrated or  nitrosated derivatives.","90,931,771",
202502,502,United States,2918,"arboxylic acids with additional oxygen function and their  anhydrides, halides, peroxides and peroxyacids; their  halogenated, sulphonated, nitrated or nitrosated derivatives.","164,055,742",
202502,502,United States,2919,"Phosphoric esters and their salts, including lactophosphates;  their halogenated, sulphonated, nitrated or nitrosated  derivatives.","39,991,975",
202502,502,United States,2920,"Esters of other inorganic acids of nonmetals (excluding esters  of hydrogen halides) and their salts; their halogenated,  sulphonated, nitrated or nitrosated derivatives.","21,843,629",
202502,502,United States,2921,Amine-function compounds.,"60,934,973",
202502,502,United States,2922,Oxygenfunction aminocompounds.,"260,385,024",
202502,502,United States,2923,"uaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined.","26,553,024",
202502,502,United States,2924,arboxyamidefunction compounds; amidefunction compounds of carbonic acid.,"118,081,425",
202502,502,United States,2925,arboxyimidefunction compounds (including saccharin and its salts) and iminefunction compounds.,"75,587,063",
202502,502,United States,2926,Nitrilefunction compounds.,"97,083,935",
202502,502,United States,2927,"Diazo, azo or azoxycompounds.","1,592,530",
202502,502,United States,2928,Organic derivatives of hydrazine or of hydroxylamine.,"13,169,451",
202502,502,United States,2929,Compounds with other nitrogen function.,"26,545,907",
202502,502,United States,2930,Organo-sulphur compounds.,"99,725,261",
202502,502,United States,2931,ther organoinorganic compounds.,"279,263,161",
202502,502,United States,2932,Heterocyclic compounds with oxygen heteroatom(s) only.,"162,812,278",
202502,502,United States,2933,Heterocyclic compounds with nitrogen heteroatom(s) only.,"517,831,922",
202502,502,United States,2934,"ucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds.","296,316,670",
202502,502,United States,2935,Sulphonamides.,"33,895,605",
202502,502,United States,2936,"rovitamins and vitamins, natural or reproduced by synthesis  (including natural concentrates), derivatives thereof used  primarily as vitamins, and intermixtures of the foregoing,  whether or not in any solvent.","352,875,238",
202502,502,United States,2937,"ormones, prostaglandins, thromboxanes and leukotrienes,  natural or reproduced by synthesis; derivatives and structural  analogues thereof, including chain modified polypeptides, used  primarily as hormones.","89,022,332",
202502,502,United States,2938,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","66,423,827",
202502,502,United States,2939,"Alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","19,547,314",
202502,502,United States,2940,"Sugars, chemically pure, other than sucrose, lactose, maltose,  glucose and fructose; sugar ethers, sugar acetals and sugar  esters, and their salts, other than products of heading 29.37,  29.38 or 29.39.","29,509,358",
202502,502,United States,2941,Antibiotics,"60,400,511",
202502,502,United States,2942,Other organic compounds.,"2,245,689",
202502,502,United States,3001,"Glands and other organs for organotherapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organotherapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified or included.","84,631,891",
