"Date of data","Trading partner code","Trading partner","Commodity code","Commodity","Renminbi Yuan",
"202505","502","United States","1202","Groundnuts, not roasted or otherwise cooked, whether or not shelled or broken.","12,046",
"202505","502","United States","1203","Copra","40,320",
"202505","502","United States","1206","Sunflower seeds, whether or not broken.","769,155",
"202505","502","United States","1207","Other oil seeds and oleaginous fruits, whether or not broken.","497,220",
"202505","502","United States","1209","Seeds, fruit and spores, of a kind used for sowing.","3,058,992",
"202505","502","United States","1211","lants and parts of plants (including seeds and fruits), of a kind 
used primarily in perfumery, in pharmacy or for insecticidal, 
fungicidal or similar purposes, fresh, chilled, frozen or dried, 
whether or not cut, crushed or powdered.","7,073,553",
"202505","502","United States","1212","Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit 
stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhere specified or included.","31,260,385",
"202505","502","United States","1301","Lac; natural gums, resins, gumresins and oleoresins (for example, balsams).","2,965,748",
"202505","502","United States","1302","Vegetable saps and extracts; pectic substances, pectinates and 
pectates; agaragar and other mucilages and thickeners, whether 
or not modified, derived from vegetable products.","187,922,254",
"202505","502","United States","1401","Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark).","3,575,345",
"202505","502","United States","1404","Vegetable products not elsewhere specified or included.","7,027,664",
"202505","502","United States","1504","ats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified.","22,177,131",
"202505","502","United States","1505","Wool grease and fatty substances derived therefrom (including lanolin).","971,112",
"202505","502","United States","1506","Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.","935,536",
"202505","502","United States","1507","oyabean oil and its fractions, whether or not refined, but not chemically modified.","24,561",
"202505","502","United States","1508","Groundnut oil and its fractions, whether or not refined, but not chemically modified.","1,656,538",
"202505","502","United States","1512","unflowerseed, safflower or cottonseed oil and fractions thereof, whether or not refined, but not chemically modified.","545,737",
"202505","502","United States","1513","Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.","55,484",
"202505","502","United States","1514","Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.","238,946",
"202505","502","United States","1515","Other fixed vegetable or microbial fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified","10,688,456",
"202505","502","United States","1516","Animal，vegetable or microbial fats and oils and their fractions, partly or wholly hydrogenated, interesterified, reesterified or elaidinised, whether or not refined, but not further prepared.","1,271,005",
"202505","502","United States","1517","Margarine; edible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, other than edible fats and oils or their fractions of heading 15.16.","7,683,615",
"202505","502","United States","1518","Animal, vegetable or microbial fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 15.16; inedible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, not elsewhere specified or included","47",
"202505","502","United States","1521","egetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti, whether or not refined or coloured.","1,262,044",
"202505","502","United States","1601","Sausages and similar products, of meat, meat offal, blood or insects; food preparations based on these products","689,498",
"202505","502","United States","1602","Other prepared or preserved meat, meat offal, blood or insects","3,831,660",
"202505","502","United States","1604","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs.","166,014,461",
"202505","502","United States","1605","rustaceans, molluscs and other aquatic invertebrates, prepared or preserved.","160,745,151",
"202505","502","United States","1701","Cane or beet sugar and chemically pure sucrose, in solid form.","1,814,299",
"202505","502","United States","1702","Other sugars, including chemically pure lactose, maltose, glucose 
and fructose, in solid form; sugar syrups not containing added 
flavouring or colouring matter; artificial honey, whether or not 
mixed with natural honey; caramel.","37,414,571",
"202505","502","United States","1703","olasses resulting from the extraction or refining of sugar.","195",
"202505","502","United States","1704","ugar confectionery (including white chocolate), not containing cocoa.","105,170,204",
"202505","502","United States","1806","hocolate and other food preparations containing cocoa.","4,918,355",
"202505","502","United States","1901","Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of headings 04.01 to 04.04,not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally efatted basis, not elsewhere specified or included.","2,609,037",
"202505","502","United States","1902","Pasta, whether or not cooked or stuffed (with meat or other 
substances) or otherwise prepared, such as spaghetti, macaroni, 
noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether 
or not prepared.","67,651,556",
"202505","502","United States","1903","Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms","1,102,451",
"202505","502","United States","1904","repared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than 
maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), precooked, or otherwise prepared, not elsewhere specified or included.","8,892,698",
"202505","502","United States","1905","read, pastry, cakes, biscuits and other bakers' wares, whether 
or not containing cocoa; communion wafers, empty cachets of a 
kind suitable for pharmaceutical use, sealing wafers, rice paper 
and similar products.","21,648,849",
"202505","502","United States","2001","Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid.","2,515,783",
"202505","502","United States","2002","Tomatoes prepared or preserved otherwise than by vinegar or acetic acid.","1,532,685",
"202505","502","United States","2003","Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid.","1,054,135",
"202505","502","United States","2004","Other vegetables prepared or preserved otherwise than by 
vinegar or acetic acid, frozen, other than products of 
heading 20.06.","2,248,020",
