Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
201902,502,United States,071490,"Arrowroot, salep, Jerusalem artichokes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets, and sago pith (excluding manioc ""cassava"", sweet potatoes, yams, taro and yautia)",285060
201902,502,United States,080241,In shell chestnuts (Castanea spp.),70074
201902,502,United States,080290,Other nuts fresh or dried,2227959
201902,502,United States,080390,Fresh or dried bananas (excluding plantains),15860
201902,502,United States,080430,Fresh or dried pineapples,55736
201902,502,United States,080450,"Fresh or dried guavas, mangoes and mangosteens",50354
201902,502,United States,080810,Fresh Apples,274206
201902,502,United States,080830,Fresh Pears,430097
201902,502,United States,081110,Frozen Strawberries,54552
201902,502,United States,081190,Other Frozen Fruit and nuts,417925
201902,502,United States,081340,Other Dried fruit,4946944
201902,502,United States,081350,Mixtures of nuts or dried fruits of this Chapter,2715
201902,502,United States,081400,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",6402
201902,502,United States,090111,Coffee not roasted (not decaffeinated),603909
201902,502,United States,090121,Coffee roasted (Not decaffeinated ),4508
201902,502,United States,090122,Coffee roasted(Decaffeinated ),5634
201902,502,United States,090210,Green tea (not fermented) in immediate packings of a content not exceeding 3 kg,776898
201902,502,United States,090220,Other green tea (not fermented),1790839
201902,502,United States,090230,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",270168
201902,502,United States,090240,Other black tea (fermented) and other partly fermented tea,934718
201902,502,United States,090411,Neither crushed nor ground,56186
201902,502,United States,090412,Crushed or ground,92267
201902,502,United States,090421,"Dried, neither crushed nor ground",688308
201902,502,United States,090422,Crushed or ground,3683536
201902,502,United States,090619,"Cinnamon and cinnamon-tree flowers (excluding cinnamon ""Cinnamomum zeylanicum Blume"" and crushed and ground cinnamon)",1226
201902,502,United States,090961,"Seeds of anise, badian, caraway or fennel; juniper berries Neither crushed nor ground",31121
201902,502,United States,091011,"Seeds of anise, badian, caraway or fennel; juniper berries Neither crushed nor ground",4403846
201902,502,United States,091012,"Seeds of anise, badian, caraway or fennel; juniper berries Crushed or ground",227533
201902,502,United States,091030,Turmeric (curcuma),36000
201902,502,United States,091091,Mixtures referred to in Note 1 (b) to this Chapter,3552
201902,502,United States,091099,Other spices,44881
201902,502,United States,100390,Barley (excluding seed for sowing),834
201902,502,United States,100510,Maize (corn) seed for sowing.,1
201902,502,United States,100630,"Semimilled or wholly milled rice, whether or not polished or glazed",69149
201902,502,United States,100810,Buckwheat,28890
201902,502,United States,100890,Other cereals,18500
201902,502,United States,110100,Wheat or meslin flour.,8648
201902,502,United States,110422,"Hulled, pearled, sliced, kibbled or otherwise worked oat grains (excluding rolled, flaked, pellets and flour)",4747
201902,502,United States,110429,"Grains of cereals, hulled, pearled, sliced, kibbled or otherwise worked (excluding rolled, flaked, flour, pellets, and oats and maize, and husked and semi- or wholly milled rice and broken rice)",120638
201902,502,United States,110620,Of sago or of roots or tubers of heading 07.14,459272
201902,502,United States,110630,Of the products of Chapter 8,150387
201902,502,United States,110819,Other starches,123863
201902,502,United States,110820,Inulin,3385
201902,502,United States,110900,"Wheat gluten, whether or not dried.",24570
201902,502,United States,120190,Other Soya beans,12838
201902,502,United States,120600,"Sunflower seeds, whether or not broken.",378065
201902,502,United States,120740,Sesamum seeds,9802
201902,502,United States,120770,Melon seeds,386089
201902,502,United States,120799,Other,544519
201902,502,United States,120810,Of soya beans,3569
201902,502,United States,120890,Flours and meal of oil seeds or oleaginous fruit (excluding soya and mustard),232118
201902,502,United States,120930,Seeds of herbaceous plants cultivated principally for their flowers,271666
201902,502,United States,120991,Vegetable seeds,873542
201902,502,United States,120999,"Seeds, fruits and spores, for sowing (excluding leguminous vegetables and sweetcorn, coffee, tea, maté and spices, cereals, oil seeds and oleaginous fruits, beets, forage plants, vegetable seeds, and seeds of herbaceous plants cultivated mainly for flowers or used primarily in perfumery, medicaments or for insecticidal, fungicidal or similar purposes)",3495
201902,502,United States,121120,Ginseng roots,838244
201902,502,United States,121190,Other,1121002
201902,502,United States,121221,Fit for human consumption,61709
201902,502,United States,121229,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, unfit for human consumption",17480
201902,502,United States,121299,"Fruit stones and kernels and other vegetable products, incl. unroasted chicory roots of the variety cichorium intybus sativum, of a kind used primarily for human consumption, n.e.s.",2587704
201902,502,United States,130190,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excluding gum Arabic)",6600
201902,502,United States,130212,Extracts of liquorice (excluding that with a sucrose content by weight of > 10% or in the form of confectionery),150942
201902,502,United States,130219,"Mucilages and thickeners, derived from locust beans, locust bean seeds or guar seeds, whether or not modified",12919791
201902,502,United States,130220,"Pectic substances, pectinates and pectates",562381
201902,502,United States,130231,Agaragar,13650
201902,502,United States,130232,"Mucilages and thickeners, whether or not modified, derived from locust beans, locust bean seeds or guar seeds",78566
201902,502,United States,130239,Other,1766035
201902,502,United States,140110,Bamboos,280186
201902,502,United States,140120,Rattans,9339
201902,502,United States,140190,Other,15013
201902,502,United States,140490,Other,84557
201902,502,United States,150410,Fishliver oils and their fractions,38861
201902,502,United States,150420,"Fats and oils and their fractions, of fish, other than liver oils",3448197
201902,502,United States,150500,Wool grease and fatty substances derived therefrom (including lanolin).,100447
201902,502,United States,151219,Other,11833
201902,502,United States,151519,"Linseed oil and fractions thereof, whether or not refined, but not chemically modified (excluding crude)",170259
201902,502,United States,151550,Sesame oil and its fractions,3595
201902,502,United States,151590,Other,1083717
201902,502,United States,151610,Animal fats and oils and their fractions,246500
201902,502,United States,151790,"Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of different fats or oils (excluding fats, oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared, mixtures of olive oils and their fractions, and solid margarine)",77410
201902,502,United States,151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised,dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 15.17; inedible mixres or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this Chapter, not elsewhere specified or included.",2540
201902,502,United States,152110,Vegetable waxes,24535
201902,502,United States,152190,Other,424696
201902,502,United States,160411,Prepared or preserved salmon,208000
201902,502,United States,160413,"Prepared or preserved Sardines, sardinella and brisling or sprats",469271
201902,502,United States,160414,"Prepared or preserved Tunas, skipjack and bonito (Sarda spp.)",1907858
201902,502,United States,160415,Prepared or preserved mackerel,473158
201902,502,United States,160417,Prepared or preserved eels,6601909
201902,502,United States,160419,"Prepared or preserved fish, whole or in pieces (excluding minced, merely smoked, and salmon, herrings, sardines, sardinella, brisling or sprats, tunas, skipjack, bonito ""sarda spp."", mackerel, anchovies and eels)",5056666
201902,502,United States,160420,Other prepared or preserved fish,1704914
201902,502,United States,160431,Caviar,193214
201902,502,United States,160432,Caviar substitutes,23811
201902,502,United States,160510,Prepared or preserved Crab,3898658
